event,white,black,result,whiteelo,blackelo,whiteratingdiff,blackratingdiff,opening
Rated Classical game,tenz07ibo,helioluciod,1-0,1822,1885,13.0,-12.0,Ruy Lopez
Rated Classical game,kimate,denys-che,1-0,1720,1767,14.0,-12.0,Queen's Gambit Accepted
Rated Classical game,ShowView,philip76,1-0,1137,1200,12.0,-13.0,Petrov
Rated Classical game,moutarde,georgatos00,1-0,1673,1545,7.0,-7.0,Queen's Pawn Game
Rated Classical game,AMIRZADE_2017,Y2305,1-0,1772,1734,9.0,-9.0,Philidor Defense
Rated Classical game,Garullus,AngelAmando33,1-0,1447,1383,9.0,-8.0,Pirc Defense
Rated Classical game,nenuorama,zymurg,1-0,1117,1208,13.0,-14.0,King's Pawn Game
Rated Classical game,a1359,debo654,1-0,1418,1436,11.0,-12.0,St. George Defense
Rated Classical game,seint,Circassian17,1-0,1816,1842,11.0,-11.0,Caro-Kann Defense
Rated Classical game,markelovdn,Toniled,0-1,1342,1442,-8.0,8.0,Philidor Defense
Rated Classical game,Hellontoast,SadLittleTurtle,1-0,1673,1743,13.0,-13.0,English Opening
Rated Classical game,nicpiero93,barman188,0-1,1298,1242,-13.0,13.0,French Defense
Rated Classical game,bahssine,Flavio1985,0-1,1541,1657,-7.0,7.0,Sicilian Defense
Rated Classical game,d9ee,Stewof,0-1,1664,1518,-17.0,15.0,Sicilian Defense
Rated Classical game,halil1962,HiroshimaNagasaki,1-0,1795,1815,11.0,-11.0,Queen's Pawn Game
Rated Classical game,sandocan,hosseinsafavi,0-1,1581,1549,-12.0,12.0,Ruy Lopez
Rated Classical game,FAM,hassan982,0-1,1433,1461,-10.0,10.0,Sicilian Defense
Rated Classical game,Ten_min_game,alc_rabie,0-1,1779,1949,-7.0,6.0,Sicilian Defense
Rated Classical game,puissance64,lionheart333,1-0,1704,1694,10.0,-14.0,Philidor Defense
Rated Classical game,tchiwiwi,bubo15,0-1,1638,1717,-9.0,9.0,Indian Game
Rated Classical game,shayabutbul,dbalka2,0-1,1639,1671,-9.0,9.0,Scandinavian Defense
Rated Classical game,glimoire,Booooo1234,0-1,1412,1606,-6.0,6.0,Polish Opening
Rated Classical game,hadi3000,JamIbius,1-0,1604,1458,7.0,-7.0,Bishop's Opening: Ponziani Gambit
Rated Classical game,KaspaRock,bobbyfischer2700,1-0,1719,1719,10.0,-28.0,Sicilian Defense
Rated Classical game,Davit1982,TFP,0-1,1710,1848,-7.0,7.0,Sicilian Defense
Rated Classical game,Kazim111,Gabriellucena,1-0,1205,1197,10.0,-30.0,King's Pawn Game
Rated Classical game,johnbjork1,vell29,1-0,1414,1366,10.0,-9.0,Petrov
Rated Classical game,noobishop,DragovicThor,0-1,1599,1730,-7.0,7.0,Sicilian Defense
Rated Classical game,mumu77,MountainDew,1-0,1476,1476,10.0,-10.0,King's Pawn Game
Rated Classical game,Fil40,fgarciao,0-1,1428,1602,-6.0,6.0,Queen's Pawn Game
Rated Classical game,xcoolboy111,Raider377,1-0,1469,1449,10.0,-10.0,Italian Game
Rated Classical game,Richard072017,Napoleon_Solo,1-0,1554,1570,12.0,-15.0,Caro-Kann Defense
Rated Classical game,morisok,l1ggy,0-1,1167,1161,-10.0,49.0,Scotch Game
Rated Classical game,safi2020,Radhagupta,0-1,1769,1593,-16.0,16.0,Philidor Defense
Rated Classical game,GlaDiaDorBRKS,eralb,1-0,1478,1498,12.0,-12.0,French Defense
Rated Classical game,rayfinckle100,vlad1866,1-0,1512,1627,14.0,-15.0,Ruy Lopez
Rated Classical game,Sweeterman,Best89,1-0,1618,1489,8.0,-7.0,French Defense
Rated Classical game,Celeborn171327,Vascojr93,1-0,1423,1494,12.0,-13.0,Indian Game
Rated Classical game,MonteForte,BerkanTuna,1-0,1473,1326,6.0,-7.0,Sicilian Defense: Smith-Morra Gambit
Rated Classical game,vkilz,Deniska77,0-1,1592,1638,-14.0,9.0,Bishop's Opening
Rated Classical game,Salvatorejaime,Conde123,0-1,1678,1690,-10.0,10.0,Bishop's Opening
Rated Classical game,Arlequinescacs,unholymountain,0-1,1900,1787,-13.0,14.0,French Defense
Rated Classical game,lucio74,Dorianchess,1-0,1275,1390,14.0,-14.0,Four Knights Game
Rated Classical game,mamsrz,Federico022,0-1,1484,1485,-11.0,11.0,Van Geet Opening
Rated Classical game,swofl,dondougs,1-0,1400,1376,10.0,-10.0,Petrov
Rated Classical game,inirrefoloap,maj5b911,1-0,1645,1473,6.0,-6.0,Queen's Pawn Game
Rated Classical game,eroots,amineSA,1-0,1127,1043,8.0,-10.0,English Opening
Rated Classical game,Guiguizinho,Douglas7771,0-1,1362,1323,-13.0,12.0,Philidor Defense
Rated Classical game,regato,rafaelaflorit,0-1,1703,1776,-8.0,9.0,King's Indian Defense
Rated Classical game,Ruairi1982,mailok85,1-0,1473,1311,6.0,-6.0,King's Pawn Game
Rated Classical game,benesp,Xarlebrau,0-1,1730,1717,-11.0,10.0,Old Benoni Defense
Rated Classical game,CORVETE,sinjal,0-1,1555,1578,-10.0,10.0,Sicilian Defense: Smith-Morra Gambit
Rated Classical game,tuo_padre,fborja1977,0-1,1703,1710,-10.0,10.0,Slav Defense
Rated Classical game,a-zee,RascasseRouge,1-0,1187,1274,22.0,-13.0,Center Game
Rated Classical game,MaxOverlord,zurdo57,1-0,1352,1393,14.0,-12.0,Scandinavian Defense
Rated Classical game,Wolf21,Scarff,0-1,1597,1754,-6.0,6.0,Sicilian Defense
Rated Classical game,retared,KaraliusD,1-0,1458,1431,11.0,-10.0,Ponziani Opening
Rated Classical game,thierry0057,zubairali,0-1,1594,1660,-9.0,9.0,Scandinavian Defense
Rated Classical game,hartmann_84,dexers,1-0,1318,1247,8.0,-9.0,Bishop's Opening
Rated Classical game,CaptainMojo,joel33,0-1,1476,1617,-7.0,7.0,Scotch Game
Rated Classical game,juanfran97,Leskiv,1-0,1697,1685,10.0,-10.0,Philidor Defense
Rated Classical game,poland1230,ByAngelll,0-1,1422,1461,-10.0,10.0,St. George Defense
Rated Classical game,Emil5555,mqk,0-1,1798,1705,-13.0,12.0,Philidor Defense
Rated Classical game,george17,sldnk51,0-1,1649,1693,-9.0,10.0,King's Pawn Game
Rated Classical game,adelmarc,Holylowy,1-0,1585,1524,9.0,-9.0,Italian Game
Rated Classical game,F0854,Rage_Pas_Frere,1-0,1366,1273,8.0,-37.0,Scandinavian Defense
Rated Classical game,gillouxs,yesilbere,1-0,1248,1062,5.0,-12.0,King's Pawn Game
Rated Classical game,okoloborisa,arttt,1-0,1619,1578,10.0,-9.0,Queen's Gambit Accepted
Rated Classical game,mozg-ii,makalo,0-1,1787,1701,-14.0,13.0,Semi-Bononi
Rated Classical game,Pol-333,stupidknight,1-0,1904,1906,10.0,-11.0,King's Indian Defense
Rated Classical game,limunko,obanna,1-0,1861,1867,11.0,-11.0,Sicilian Defense
Rated Classical game,vrokh,Zack910030,1-0,1444,1461,11.0,-12.0,Modern Defense
Rated Classical game,aridder,SY_NC,1-0,1438,1398,10.0,-10.0,Sicilian Defense
Rated Classical game,brain_food,zagortenay65,0-1,1491,1476,-11.0,11.0,Italian Game
Rated Classical game,mattiamazzonetto,SabrinaHoney,1-0,1042,1030,12.0,-10.0,King's Pawn Game
Rated Classical game,kronik76,Ruzpaul,1-0,1160,1160,11.0,-11.0,Queen's Pawn Game
Rated Classical game,mburaksu,davifl10,1-0,1276,1258,21.0,-10.0,Philidor Defense
Rated Classical game,Delpawn,Dondothesuperamida,1-0,1717,1617,8.0,-9.0,King's Pawn Game
Rated Classical game,Albyrani,vicentepavez,1-0,1627,1638,11.0,-15.0,"King's Gambit Accepted, Schallopp Defense"
Rated Classical game,masciu,Governor1,0-1,1763,1620,-17.0,16.0,Queen's Gambit Refused
Rated Classical game,whiteslon,victorecho,0-1,1272,1346,-10.0,8.0,Italian Game
Rated Classical game,REIS60,limax,0-1,1945,1921,-13.0,11.0,Sicilian Defense
Rated Classical game,mannenmannen,ayo100000,0-1,1447,1466,-10.0,10.0,Ruy Lopez
Rated Classical game,mauro0108,Aleks7801,1-0,1801,1804,10.0,-11.0,Sicilian Defense
Rated Classical game,Kh1348,zakir1005,0-1,1890,1834,-12.0,12.0,English Opening
Rated Classical game,mauriziospin,cobre,0-1,1722,1703,-12.0,12.0,Queen's Gambit Declined
Rated Classical game,Renzi,emrebulkurcuoglu,0-1,1234,1242,-13.0,15.0,King's Pawn Game
Rated Classical game,mailok85,tatoupandore,0-1,1305,1297,-11.0,10.0,Sicilian Defense
Rated Classical game,rely93,chernilo21,1-0,1405,1275,9.0,-7.0,French Defense
Rated Classical game,pmeath,climaxboy,0-1,1282,1349,-13.0,9.0,Ponziani Opening
Rated Classical game,germanymickael,duca83,0-1,1723,1911,-6.0,6.0,Sicilian Defense
Rated Classical game,rribak,jaque_cba,1-0,1750,1862,14.0,-14.0,Queen's Gambit Accepted
Rated Classical game,x8magic,BIBIGON,0-1,1539,1544,-10.0,11.0,King's Pawn Game
Rated Classical game,TaylorSwift1989,alfio64,0-1,1453,1493,-10.0,11.0,French Defense
Rated Classical game,Ostwestfale,Jkgu,1-0,1652,1556,8.0,-7.0,Ware Opening
Rated Classical game,antozi,lancrydario,1-0,1267,1284,11.0,-11.0,King's Pawn Game
Rated Classical game,Alex_Anaua,aniquilador88,1-0,1738,1904,16.0,-15.0,Sicilian Defense
Rated Classical game,c3ry,kriebelmeneus,0-1,1403,1372,-11.0,12.0,Queen's Pawn Game
Rated Classical game,zava13,nosz,1-0,1500,1448,9.0,-9.0,Scandinavian Defense
Rated Classical game,stasila82,Emil1V3,0-1,1443,1410,-12.0,11.0,Gunderam Defense
Rated Classical game,KamikazeKiwi,Stu-ganem,1-0,1816,1674,6.0,-7.0,Italian Game
Rated Classical game,jordanajam,smallRook,0-1,1286,1294,-10.0,11.0,Scotch Game
Rated Classical game,Torrent07,Mohamedelyou,1-0,1346,1400,12.0,-12.0,Center Game
Rated Classical game,Rednakes,Shkolnik777,0-1,1555,1482,-14.0,14.0,Italian Game
Rated Classical game,smontur,Delfoscabernard,0-1,1767,1603,-16.0,15.0,Philidor Defense
Rated Classical game,Siva1444,Jackarmstrong1951,1-0,1614,1651,11.0,-12.0,Englund Gambit Complex: Hartlaub-Charlick Gambit
Rated Classical game,Galass44,CharllesJunior,1-0,1120,1140,12.0,-12.0,Scandinavian Defense
Rated Classical game,geiralnes,apolo6612,1-0,1215,1176,10.0,-10.0,Nimzo-Larsen Attack
Rated Classical game,Zelya112233,eugenis,0-1,1666,1681,-10.0,10.0,French Defense
Rated Classical game,Parlov1337,pandbur,1-0,1078,1039,20.0,-12.0,Queen's Gambit Accepted
